,,,,,,,Total,Total,Annual loss,,,,,,,,,,,,,forest cover by strata,,,,,,,,loss within S1,,,,,,,,,,,,,loss within S2,,,,,,,,,,,,,loss within S3,,,,,,,,,,,,,loss within S4,,,,,,,,,,,,,loss within S5,,,,,,,,,,,,,loss within S6,,,,,,,,,,,,,loss within S7,,,,,,,,,,,,,loss within S8,,,,,,,,,,,,
Ecozone,Realm,Code,total area,no data,land,water,Loss 00-13,Gain 00-12,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,S1,S2,S3,S4,S5,S6,S7,S8,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NA,NA,0,33722488379,31390980993,37137627.91,2294369758,417978.755,146400.0082,25256.82994,28599.21585,18874.6571,34193.20398,33598.01882,34011.48905,30754.9926,34149.38074,38217.43907,32880.87535,33545.73159,40653.68732,33243.23353,22122888.39,530804.0183,388951.0203,215168.3053,300499.1767,1378377.656,2659228.853,9541710.494,483.390006,472.0839754,316.2929375,624.4085155,742.0105599,768.3622237,733.7299355,785.6200068,959.73011,798.6480554,1109.749061,1123.5623,2638.539525,110.3907217,109.8047821,69.45890476,143.7467582,138.6742786,167.9179543,133.5906159,164.7310618,151.491896,148.4157994,149.2234945,167.2603037,277.6223464,114.1685669,162.3876816,126.3135485,162.5105679,189.3863537,243.7046318,224.4872276,262.3827035,255.9490496,229.8713577,176.8784829,210.4119702,479.1093589,51.30653178,62.89907045,42.51667953,80.79860619,75.45141051,96.03017776,76.88633517,89.00245191,109.6721446,80.34045423,73.13157369,105.2262447,225.1660119,99.12389672,128.1227501,92.23724376,137.195828,148.9564665,193.8373392,215.4528248,166.6220341,292.9198225,162.8567314,138.9088089,195.3631536,393.2299278,1084.335057,1436.407111,755.4131812,1177.8426,1455.57653,1740.684594,1899.37979,1320.32438,1175.258684,1104.821351,1065.898091,1630.627523,2495.088613,2782.999902,3117.150693,1808.799944,3057.874587,3077.766382,3427.459398,2878.416839,3729.399939,3723.6652,3398.875713,3168.036707,4234.982098,5385.483908,20531.11526,23110.35979,15663.62466,28808.82652,27770.19684,27373.49274,24593.04903,27631.29817,31548.75216,26957.04589,27663.90537,32986.25373,21348.99383
No data,AFR,1,987206.9658,63226.74077,855501.5762,68478.64884,9726.62278,8207.697526,228.0403658,718.6104829,496.9519649,469.9581917,479.515402,916.5770191,336.7471947,248.857145,564.2578327,371.4031989,1330.036647,1135.505005,2430.162331,486841.8853,16791.15732,63484.54081,8849.559668,21819.38954,61787.2522,83588.34723,112339.4441,26.61350283,55.50817827,88.75661918,67.46881862,30.8664352,80.02173273,164.4288422,14.82285802,60.38505541,38.65878039,90.67408109,174.0302242,190.170558,1.70600039,4.158828779,3.298518291,4.561646838,3.029030508,5.983072467,2.766425913,2.012738057,10.70014013,2.984078338,14.97963368,9.710985349,82.58927179,2.463913957,4.721403417,9.405849908,12.45832212,7.094773617,11.67952538,5.041387464,6.300280466,23.96530538,3.395237077,68.01758671,21.72844915,453.7434814,0.7285470402,1.232274431,2.960489385,3.676998812,1.952313647,3.328403263,0.9320636774,2.312711995,4.706200628,0.4276998423,14.63100427,5.441291007,75.95707317,2.259742449,7.879837346,7.767151436,12.55562682,7.636810692,10.96352422,4.435571917,5.350439653,16.93080355,2.768443412,47.48129543,23.3389854,203.0487096,9.32098843,55.48732633,38.7049201,56.6265666,41.10011806,67.72752988,19.41775792,22.61220604,58.6476135,23.88754406,214.8056681,149.6190712,691.2182713,47.16457867,336.5571073,168.5883254,119.6810396,147.2804177,272.4656403,59.34208111,69.18716086,158.7533825,113.6705678,525.1223319,426.4983776,572.6874605,137.7830921,253.065527,177.4700913,192.9291723,240.5555026,464.4075909,80.38306452,126.2587499,230.1693317,185.610848,354.325046,325.137621,160.7475049
Subtropical dry forest,AFR,2,33662309.21,0,33482244.25,180064.9606,238936.869,87979.18194,10440.48157,12589.31852,12459.20804,14020.85984,14219.51652,23414.84598,14658.62021,18604.39447,20022.84734,14333.02268,21472.45106,23104.55004,39596.75273,29406129.68,677236.4274,522871.8603,238848.9446,219841.5075,839024.8989,760520.6989,817770.2296,284.7517028,426.9095049,569.3366794,1012.734892,977.629839,1053.710089,911.5939052,1676.442518,1062.91058,764.8611546,1855.306695,4373.924875,15674.70897,217.233641,218.5750002,266.3880147,310.5430176,341.7103446,409.5902497,336.3073389,431.3931394,333.0792554,282.0316768,616.6610272,931.6698798,3712.33902,432.1100778,445.9839955,434.0924329,571.206463,496.5760954,931.6477208,604.1474967,595.1384791,584.8891022,802.839691,884.3288476,862.6734876,3542.375778,128.0549149,150.6408554,125.8673031,176.2588751,180.2672206,282.376172,203.8181987,181.5128455,156.6583153,161.0416178,248.2003145,318.8383753,1187.756618,360.1055189,339.3572005,357.1737941,422.659535,417.5196858,822.2519355,428.4634587,341.8387452,384.1699128,511.5978325,437.4010452,569.808365,1231.794361,1791.621047,2083.834257,2087.817419,2179.860958,2419.285126,3848.440742,2157.91742,2857.062101,3163.901052,2325.76683,2993.806691,2830.083942,5018.24602,3342.176241,3974.18563,3766.354407,4030.706953,3995.990823,7090.267173,3909.503193,4944.62247,5675.493913,4001.608987,4934.475963,4660.966604,4916.624657,3884.428429,4949.83208,4852.17799,5316.889147,5390.537382,8976.561893,6106.8692,7576.384174,8661.74521,5483.274888,9502.270478,8556.584512,4312.907313
Subtropical humid forest,AFR,3,8503553.105,0,8446467.388,57085.71748,183698.3968,122882.4622,11693.39376,9636.070758,14092.28557,17264.21423,15134.29987,17286.26054,15139.86339,10457.28226,15816.34848,8600.189916,12521.9113,18629.53205,17426.74469,2705213.633,1361522.724,1581458.192,163935.8406,366002.5959,1043900.09,870511.3298,353922.9822,10.99914576,8.774200713,25.40321887,16.12664605,18.68185041,16.97886909,25.31566308,18.57689746,24.51792663,14.4682496,418.5188906,478.0180659,1104.463966,76.34893159,73.60249749,77.44710427,88.49816543,111.3326505,112.4915161,114.1365926,113.5851641,148.6991311,87.35244522,239.3381975,397.8568698,1047.826264,369.2906647,306.9335904,354.1665203,397.9324615,474.4683077,500.7802828,505.7233569,456.042782,542.6334344,374.8905297,570.7246975,864.6447865,2143.690411,103.4065373,75.49118645,88.31273611,114.9772784,132.8134705,136.5917846,139.8726553,115.511028,142.5726388,99.42343048,115.2515228,178.2397504,356.3081242,298.5806341,221.9508112,273.1914586,338.3973347,362.2450624,407.6220066,379.0695329,300.4602881,354.2467143,262.1182963,336.907136,573.7027667,1086.687772,987.7197292,674.4386862,953.1920558,1386.704598,1078.694198,1229.954378,1373.831136,1030.671884,1398.301068,862.8024636,1054.8296,2005.653074,3622.426876,4652.024929,3489.300761,5002.936226,6797.889923,3998.766738,5205.196771,5265.419876,3339.144099,5224.009353,2444.62253,3972.09561,5804.910216,4831.486878,5195.023184,4785.579025,7317.636246,8123.687828,8957.297589,9676.644933,7336.494579,5083.290115,7981.368214,4454.511971,5814.245645,8326.506516,3233.854396
Subtropical mountain system,AFR,4,41242153.84,0,41131505.17,110648.6711,596866.9539,513821.7952,55839.92269,28692.21701,58812.82936,36226.95872,66848.08441,58798.38926,27547.58234,50557.05411,43058.31575,34087.14124,46819.19361,53054.2585,36525.00694,33677950.49,3540779.403,1632969.166,184270.3327,325836.7965,626253.3025,611719.8277,531725.8528,187.5818923,136.0383413,194.5572659,269.885757,275.1190011,371.5308819,537.7435633,273.2961077,250.0910538,132.3259543,1513.036465,3362.785627,5726.33709,719.709325,322.6671124,429.2585565,421.4092235,724.8517732,667.287506,1231.701681,507.4748105,429.0602518,288.4705925,1094.051436,2368.719443,3345.838459,2278.942511,698.6418206,1121.454787,1007.425952,1905.17483,1816.566934,2296.770741,1158.430741,1171.007719,803.7954338,2222.763432,3958.242794,4637.947298,451.1678988,178.5713006,282.5543751,227.2167392,390.9953016,443.7105949,333.0196454,293.0712624,239.8220637,155.3595671,473.2538664,788.6085712,820.1355059,1854.597178,672.7415354,1116.890816,883.4294399,1439.380727,1432.524215,1039.235075,960.5750252,756.4173895,547.2688631,1399.733849,1827.918159,1923.060647,5211.875274,2309.632702,4181.34897,3104.836819,4923.219921,5069.942968,2685.899928,4672.54313,3289.260217,2487.034052,4431.827421,5907.868847,6018.946939,23504.48154,12291.29722,24106.33501,14509.24406,24068.13281,21399.41951,8128.899185,19248.77619,13285.68102,11549.46211,15256.4071,16315.4603,8287.344131,21631.56707,12082.62698,27380.42958,15803.51072,33121.21005,27597.40665,11294.31252,23442.88684,23636.97604,18123.42466,20428.12003,18524.65476,5765.396867
Subtropical steppe,AFR,5,46144557.56,287.658967,45930732.03,213537.8714,3877.505006,5492.978087,295.1705094,326.1510919,202.971802,300.8232706,303.4962784,190.7076539,242.2355678,161.8296949,212.9019765,171.6541347,205.2304619,717.3570868,546.9754767,45197514.03,47540.68012,273959.6889,60049.67718,191225.4666,124925.6924,18628.09548,16888.6989,40.49262988,123.9626452,56.22819643,60.12800715,62.25959546,59.2889642,47.09483813,44.4957703,40.07609935,27.79150061,38.79911694,200.7165262,321.1173765,17.59699336,30.05679214,22.82862578,22.43052732,19.00934617,13.4436654,12.64214605,10.80544793,10.46284045,8.197756405,17.63130247,40.41366422,22.11156803,22.96955633,18.89103564,25.26624038,38.47476149,24.87192423,19.23745992,21.35949666,18.50389446,17.00399877,13.00492131,24.14398913,27.3411899,42.22529538,3.228144113,2.296421344,3.034731111,6.784274066,4.516504499,2.882257775,2.627475357,2.843714809,2.497480611,2.758355405,3.810608437,39.18667623,27.73299026,11.4887755,8.215310442,10.68706076,20.82763735,12.47931355,8.157707211,11.23146432,7.848048554,7.357770621,9.567070397,13.85289718,45.18986634,30.11398097,69.73928104,63.57231642,33.92772254,69.89417381,65.08574136,37.81212513,42.15850594,29.17597299,53.90738604,41.7370469,44.90015626,168.9281066,62.72474505,73.37927567,50.45324924,35.56244391,55.69724272,68.79273357,33.87474255,51.93171946,28.45977835,50.1611497,49.50268895,38.74665735,137.9068473,24.5852464,56.2758535,28.70332145,15.43678114,26.58664674,46.4811196,16.01073176,53.18992192,19.69706747,31.43525094,19.09479468,23.34573416,57.67421004,16.36427413
Tropical desert,AFR,6,866400080.6,0,865223900.9,1176179.699,8883.24364,1860.312884,501.4284184,284.6191639,199.9669504,468.1571979,299.5872823,301.364058,280.8640233,313.3766874,317.2244025,294.0730577,513.5903557,655.5375484,4453.454494,864609164.1,145940.375,292092.4571,33633.23708,65035.10764,58684.08819,13353.7857,5997.715041,42.55883308,37.77672442,24.78421508,41.77652293,57.26152264,32.66640692,40.38635787,31.10686543,35.58186533,40.56307752,207.7357554,301.2662655,3417.299485,64.20855628,43.24643697,28.55965045,57.63922145,46.67609371,30.7272002,44.29788726,32.11408056,36.66303301,26.11622114,44.09981599,94.46633028,501.2244909,97.96184647,72.3010532,59.9214266,101.459324,71.69522485,66.86782003,77.71933667,78.99210338,75.01901766,69.96958976,85.7173394,97.84157417,283.8485334,15.63982331,8.058758157,7.266882074,12.74669477,10.62416528,9.999421503,10.4539306,12.7154845,10.24032588,8.984482246,8.967150217,18.42455617,122.5528298,36.53952197,25.78970856,13.92968497,41.60112819,22.32500584,26.80066984,30.05775997,31.31026048,23.42706491,28.32766578,22.6592514,21.33383049,24.49009315,100.1962742,45.53684183,21.53703439,80.33194155,46.80088047,44.9906023,37.2490894,49.00038488,48.55116797,46.53840007,59.21997356,53.60221001,68.41249326,98.26731212,38.50253303,30.66146912,99.08689372,30.46786191,49.66635565,33.49900082,52.99850105,50.31526656,53.51208014,62.12364043,43.09380996,32.78635997,46.05625093,13.40710771,13.30658768,33.51547136,13.73652763,39.64558152,7.200660699,25.13900712,37.42666121,20.06154103,23.06742927,25.50897178,2.840208284
Tropical dry forest,AFR,7,365647985.7,0.6909222779,363368148.2,2279836.828,3661930.527,329729.7898,176950.4111,204549.1576,195538.7497,214143.7282,310901.3045,291871.2222,335827.5022,349519.7097,471212.5404,314579.4119,226183.8312,303420.3943,267232.5642,187154541.7,62812256.96,51905477.49,5736418.942,15474441.49,25819342.45,12513787.95,1951881.21,3559.817232,4022.282522,3108.502267,4833.680012,4674.813181,4580.268095,8635.137758,6875.860831,8021.530734,3875.18366,3591.812481,5381.538371,25252.28116,17723.54578,23148.76605,18062.08621,25534.002,32345.84684,32067.60623,47174.01016,46180.85802,56630.7036,27386.90663,19546.19867,30812.01296,28004.51418,25195.66487,31700.72672,35489.1507,39198.5419,56844.1207,50963.44747,62806.00362,69632.95684,98841.26175,49640.74337,34185.68747,59992.33375,42003.10557,3579.368145,4916.082625,4991.118856,5721.756533,8587.390331,7129.072933,8475.420186,9164.590079,13305.16185,7993.91181,5544.955012,7866.160392,6932.379684,12713.44206,17228.78958,17527.41273,20018.5093,30726.79443,23554.16674,29706.12404,30146.72293,43567.65368,25175.08578,19961.3787,28993.88868,24249.44382,37084.0665,55793.65252,45164.66375,57219.0156,89124.78291,77892.93276,91725.38437,92779.24854,126341.318,92485.26228,64441.4146,81082.18811,62877.37578,51857.01445,51249.79111,50610.17541,47269.46057,67339.0047,74382.05751,70429.90968,72191.30199,101298.6867,86825.85734,60595.59768,70115.37707,63820.71246,25237.49205,16489.06649,20585.63977,14348.7623,21258.55146,21301.67043,16875.51234,22548.17045,23206.22402,21196.46099,18316.7866,19176.89499,14092.75151
Tropical moist deciduous forest,AFR,8,464261089.7,791.8914346,458712491.9,5547805.946,9728324.616,364914.4399,408619.1059,508745.0967,400602.617,442138.8304,656929.0962,656266.2575,841445.51,908931.8045,1036374.77,909978.4524,946505.8348,954438.5766,1057348.665,70336989.1,64282064.32,89931371.85,12457676.42,38735273.08,94439167.89,84522297.1,4007652.077,2355.918673,4433.547664,1734.140962,3854.773251,4709.45304,3909.006269,5306.3677,5742.813312,5769.90556,4052.798107,5910.621032,5986.833094,24639.51925,46120.70728,60371.44947,30385.00024,55972.77492,86597.84142,74337.31218,101188.8477,102905.5878,112095.1235,87442.62677,94529.98958,97078.07399,99896.66009,67965.97229,86884.40179,70514.92634,79230.19851,127377.1557,125909.961,191848.4,175070.0099,216299.5319,113247.5307,176349.1993,180937.9414,219345.8646,9149.402154,12070.7101,9255.164654,11496.34346,16459.1855,17966.1427,21636.93263,25517.06663,27548.49019,17067.15548,24389.44225,21759.82734,30256.55187,29481.50363,36643.22883,30605.56454,35961.74304,56896.05265,52490.0352,73182.31937,77814.35141,84419.04585,56054.05415,74326.46665,65064.61765,102515.8266,86917.94149,119911.2575,102584.1001,109368.9764,168572.8453,161983.8775,214881.3817,244021.1805,257805.9613,242063.3387,259851.0674,240024.6998,282656.6092,131963.5677,164234.1263,135979.7272,129132.6382,174176.4212,194573.2116,202249.5033,249553.9681,295877.2664,353528.7898,276705.1228,310278.5169,280855.55,34664.09265,24196.37511,19543.99297,17121.38264,22140.14129,25096.7111,31151.75758,28306.8268,36559.44482,36522.15865,34443.9258,33308.06642,17182.08324
